experiment,series,power_ratio,fap_at_Pinj,delta_P,n_sig_peaks_outside,P_detected,peak_power_at_Pdet,peak_power_at_Pinj,peak_power,peak_power_period
aestra_brest_true_nocons,v_correct,4.619638167061276,0.0,0.1512060361564238,4.0,,,0.47309876185163735,,100.02665869699355
aestra_baseline_s_5,v_correct,4.412638508598593,0.0,0.1512060361564238,3.0,,,0.5283716989357563,,100.02665869699355
aestra_baseline_s_5,v_encode,4.364754689516891,0.0,0.1512060361564238,3.0,,,0.5262760798797684,,100.02665869699355
aestra_baseline_50_range,v_correct,4.350808765376909,0.0,0.1512060361564238,3.0,,,0.4992960864015991,,100.02665869699355
aestra_brest_true_s_5,v_encode,4.349564473540377,0.0,0.1512060361564238,2.0,,,0.6064276306881259,,100.02665869699355
aestra_brest_true_upgrade,v_encode,4.336549167759727,0.0,0.1512060361564238,2.0,,,0.6277161402420776,,100.02665869699355
aestra_brest_true_loss_smooth,v_encode,4.319470973200253,0.0,0.1512060361564238,2.0,,,0.6229788595742535,,100.02665869699355
aestra_brest_true_nocons,v_encode,4.315332120579712,0.0,0.1512060361564238,2.0,,,0.6245637517429359,,100.02665869699355
aestra_brest_true_encode_in_restframe,v_encode,4.315327866282838,0.0,0.1512060361564238,2.0,,,0.6266864857494457,,100.02665869699355
aestra_brest_true,v_encode,4.3152820966118455,0.0,0.1512060361564238,2.0,,,0.6286188768418403,,100.02665869699355
aestra_baseline_50_range,v_encode,4.313807297459605,0.0,0.1512060361564238,4.0,,,0.5270467753370521,,100.02665869699355
aestra_baseline_activity_proxies,v_encode,4.300309877115039,0.0,0.1512060361564238,4.0,,,0.502458004763229,,100.02665869699355
aestra_brest_true_upgrade,v_correct,4.26988971877005,0.0,0.0266586969935502,2.0,,,0.5655472598637817,,100.02665869699355
aestra_brest_true,v_correct,4.258183606124145,0.0,0.1512060361564238,2.0,,,0.5690115350396134,,100.02665869699355
aestra_brest_true_loss_smooth,v_correct,4.226823422380448,0.0,0.1512060361564238,2.0,,,0.5866743388731027,,100.02665869699355
aestra_baseline,v_encode,4.183660692662965,0.0,0.0266586969935502,4.0,,,0.4490281595586007,,100.02665869699355
aestra_baseline_encode_in_restframe,v_encode,4.147064493805078,0.0,0.0266586969935502,4.0,,,0.44787055647989377,,100.02665869699355
aestra_brest_true_s_5,v_correct,4.145013957187984,0.0,0.1512060361564238,2.0,,,0.5497557916028061,,100.02665869699355
aestra_brest_true_encode_in_restframe,v_correct,4.104703587668916,0.0,0.0266586969935502,3.0,,,0.49872040366669745,,100.02665869699355
aestra_baseline,v_correct,4.033402695175138,0.0,0.1512060361564238,4.0,,,0.42219729075200607,,100.02665869699355
aestra_baseline_encode_in_restframe,v_correct,4.005055400750733,0.0,0.1512060361564238,2.0,,,0.5914776936254929,,100.02665869699355
aestra_baseline_activity_proxies,v_correct,3.9282461565336497,0.0,0.1512060361564238,3.0,,,0.5934307096843412,,100.02665869699355
aestra_bobs_brest_trainable,v_correct,3.4483436306981736,0.0,0.0266586969935502,2.0,,,0.48701682842148536,,100.02665869699355
aestra_bobs_brest_trainable,v_encode,0.3260901255461535,0.0,0.0977337559695854,5.0,,,0.05700149514454048,,100.02665869699355
